id,title,text,label
1,Government Launches New Education Policy,The government introduced a new policy to improve higher education standards nationwide.,real
2,Celebrity Found Alive on Mars,"A viral post claims a celebrity is found alive on Mars, but no evidence supports this.",fake
3,Scientists Discover Water on Moon,NASA confirms the discovery of water molecules in sunlit areas of the moon.,real
4,Fake Lottery Scam Targets Users,A scam is circulating online claiming users won a lottery they never entered.,fake
5,New AI Tool Helps Detect Diseases,Researchers create an AI system that detects early-stage diseases accurately.,real
6,Man Claims He Time-Traveled to 2050,A man on social media claims he traveled to the year 2050 with proof.,fake
7,Stock Market Hits Record High,The national stock market reached an all-time high following global economic improvements.,real
8,Study Shows Chocolate Improves Memory,A study suggests that consuming dark chocolate regularly may improve memory retention.,real
9,Alien Spaceship Seen Over New York,"Several online posts claim a spaceship was seen over New York, with no verification.",fake
10,Medical Experts Warn of Fake Health News,Doctors warn users about spreading misleading health-related news online.,real
